experiment_name,experiment_label,model_name,model_slug,gold_row_index,article_id,id_phrase,article_title,phrase,gold_temporal_expression,gold_interval,predicted_interval_bucket,predicted_intervals_for_same_gold_span,row_status,counted_as_correct
single_pass,Single-pass,minimax/minimax-m2.7,minimax__minimax-m2.7,6,b9548530d954b407b35fb266e2b4192402c982a1,234811,,"As a result, since 24 January 2020, all public transports from and to Wuhan, as well as public transports and people's gathering events within Wuhan, were stopped.",since 24 January 2020,right_open,__MISSING__,,missing_span,0
single_pass,Single-pass,minimax/minimax-m2.7,minimax__minimax-m2.7,28,01880ef487dfed3681dd6d296a0a82417b8f38a0,335755,Molecular Sciences Impact of RNA Virus Evolution on Quasispecies Formation and Virulence,"Since September 2012 to August 2018, 2253 MERS-CoV cases including 840 deaths were reported in 27 countries worldwide [101] .",September 2012 to August 2018,closed_duration,__MISSING__,,missing_span,0
single_pass,Single-pass,minimax/minimax-m2.7,minimax__minimax-m2.7,57,1f63075aa219ae29132b49a0c7277632b9b31ba8,569878,P1 Cerebral autoregulation testing in a porcine model of intravenously administrated E. coli induced fulminant sepsis,The median ages before and after 2009 were 63.9 and 64.8 years.,after 2009,right_open,__MISSING__,,missing_span,0
single_pass,Single-pass,minimax/minimax-m2.7,minimax__minimax-m2.7,72,3afd5fba7dc182ddfa769c0d766134b525581005,77495,"Transmission and clinical characteristics of coronavirus disease 2019 in 104 outside-Wuhan patients, China","Since China firstly reported the outbreak of a cryptic pneumonia to WHO on December 31, 2019.","on December 31, 2019",closed,__MISSING__,,missing_span,0
single_pass,Single-pass,minimax/minimax-m2.7,minimax__minimax-m2.7,78,564f8823050b52b5f5c36638ac1ae07557963f36,114074,Characterisation of the faecal virome of captive and wild Tasmanian,"Listed as endangered, the Tasmanian devil is facing the threat of extinction due to a contagious 52 cancer, devil facial tumour disease (DFTD), that has caused drastic declines in wild devil 53 populations by 77% since its discovery in 1996 [3] .",in 1996,closed,__MISSING__,,missing_span,0
single_pass,Single-pass,minimax/minimax-m2.7,minimax__minimax-m2.7,88,44c680c61bc9c00ce628b5a26b6fa6539a47ad92,88319,Risk assessment of progression to severe conditions for patients with COVID-19 pneumonia: a single-center retrospective study,"Since its first report in Wuhan, China, in December 2019, the SARS-CoV-2's outbreak has quickly became a global public health issue, with a total of 168,019 infected, 6,610 deaths and 148 countries affected as of Mar 16, 2020 (World Health Organization, WHO 1 ).",in December 2019,closed,__MISSING__,,missing_span,0
single_pass,Single-pass,minimax/minimax-m2.7,minimax__minimax-m2.7,99,57a86b3acd182c955877afd4792719a4e9a0ac32,114861,Cross-sectional Study Affiliations,"Meanwhile, similar to the results of a previous study during H1N1 in 2009, higher depression was noted for those in non-spousal relationships with HCWs, i.e. in our sample these were parents and other next of kin.",in 2009,closed,__MISSING__,,missing_span,0
single_pass,Single-pass,minimax/minimax-m2.7,minimax__minimax-m2.7,106,4bc43084ccdb8d3bb704ca577473169cd1a64f9c,96327,Risk estimation and prediction by modeling the transmission of the novel coronavirus (COVID-19) in mainland China excluding Hubei province,"By February 27th, the new virus has infected more than 78,900 people and killed at least 2791 in China","By February 27th,",left_open,__MISSING__,,missing_span,0
single_pass,Single-pass,minimax/minimax-m2.7,minimax__minimax-m2.7,125,447c606a4b4aeb4c066160c4243666695258c80f,87774,Global trends in air travel: implications for connectivity and resilience to infectious disease threats,"To quantify international population mobility, we analyzed worldwide airline ticket sales data from the International Air Transport Association (IATA) for the time period covering January 1, 2007 to December 31, 2016.","for the time period covering January 1, 2007 to December 31, 2016",closed_duration,__MISSING__,,missing_span,0
single_pass,Single-pass,minimax/minimax-m2.7,minimax__minimax-m2.7,133,925b9d04db0132612913108f5a119d9b5a5aa877,180181,Deep Learning-based Detection for COVID-19 from Chest CT using Weak Label,"To simulate the process of applying the proposed DeCoVNet for clinical computeraided diagnosis (i.e., prospective clinical trials), we used the 499 CT scans collected from Dec 13, 2019 to Jan 23, 2020 for training and used the rest 131 CT volumes collected from Jan 24, 2020 to Feb. 06, 6 .","from Jan 24, 2020 to Feb. 06",closed_duration,__MISSING__,,missing_span,0
